fco,D,L,ff,Ef,tf,fcc
50.64,100,450,1150,31.2,0.507,60.61
50.64,150,210,2900,62.2,1.4,84.3
110.1,105,200,2900,31.2,0.507,116.13
107.3,76,210,2059,118.0,0.44,56.0
44.7,105,305,2707,120.0,0.2,86.07
43.0,150,200,2323,62.2,5.21,69.2
28.79,152,152,3732,115.0,3.86,47.3
84.9,100,582,2059,115.2,0.4,74.5
29.6,105,210,2060,115.0,2.1,61.56
77.0,70,200,2323,116.0,0.143,66.3
106.0,194,750,2667,128.5,0.6,170.7
109.8,70,210,2059,97.1,0.7,79.81
104.5,194,582,602,13.6,0.191,111.6
77.9,100,762,3732,97.1,1.2,83.3
107.3,70,300,2930,97.1,0.572,48.15
49.4,152,450,2663,62.2,0.6,130.9
101.18,70,300,2589,120.0,0.338,109.9
114.7,194,210,602,118.0,1.2,112.3
23.1,200,315,230,115.2,0.15,126.6
44.7,150,450,2323,116.0,0.2,113.6
101.18,200,457,2663,13.6,2.1,201.4
49.6,100,305,602,31.2,0.29,159.7
74.1,105,315,2060,115.0,0.4,154.8
110.2,105,457,230,120.0,1.2,69.2
105.0,70,200,2707,13.6,3.8,104.6
102.2,100,450,2059,115.0,0.071,36.33
44.7,76,300,2707,120.0,0.9,111.43
49.6,152,762,602,118.0,0.8,190.9
80.5,70,210,1150,13.6,0.286,50.5
36.2,100,300,2060,125.7,0.143,100.0
109.8,150,300,2390,125.7,2.8,159.1
98.0,70,305,602,118.0,2.8,80.7
70.0,152,305,2323,62.2,0.143,185.78
85.9,150,305,2663,115.2,1.27,192.21
83.0,70,762,230,62.2,1.4,105.9
79.5,194,315,2663,99.0,0.2,166.1
30.2,100,200,2060,116.0,0.507,39.0
98.0,200,457,2930,115.2,1.2,105.0
101.18,150,762,2663,120.0,0.338,109.0
105.0,100,305,602,99.0,0.338,132.8
83.6,150,300,2900,120.0,0.572,204.51
106.0,152,450,2663,120.0,0.6,167.05
37.0,200,305,2390,118.0,0.338,88.65
84.9,70,457,1150,99.0,0.3,111.24
44.7,100,300,3732,125.7,0.8,153.2
36.2,70,200,2900,87.3,0.095,195.3
29.6,100,450,2323,62.2,2.56,76.85
39.2,194,450,2707,118.0,0.057,198.8
79.5,152,210,2667,87.3,0.6,47.3
70.0,152,762,602,118.0,3.8,80.7
43.0,105,750,3732,118.0,2.1,123.5
44.0,152,315,230,31.2,0.286,118.7
29.6,100,210,3732,62.2,0.858,105.3
85.9,105,315,2323,87.3,0.29,70.44
102.0,70,300,2323,125.7,2.8,84.3
28.79,105,210,2930,87.3,1.27,70.44
55.2,194,300,1150,125.7,0.286,170.7
78.5,194,450,2663,115.0,4.3,121.3
36.6,105,210,3732,116.0,0.6,128.49
83.0,152,200,2900,128.5,0.095,50.5
102.2,200,457,2059,116.0,0.507,175.9
34.0,105,315,2707,115.0,0.072,123.27
50.64,194,450,602,125.7,3.8,103.4
29.6,70,300,2323,116.0,2.56,224.1
100.0,150,305,2930,118.0,0.4,168.7
50.64,105,200,1150,118.0,0.191,62.8
29.6,152,315,2707,120.0,0.4,78.26
18.9,194,152,2589,31.2,0.44,104.6
77.9,70,300,2667,31.2,0.507,159.7
18.9,76,315,230,115.2,0.507,116.3
110.1,150,305,2390,125.7,0.338,80.7
39.0,194,305,2060,13.6,0.071,66.3
39.0,70,457,1150,31.2,0.507,162.1
114.7,194,762,2059,118.0,0.15,96.3
85.5,76,457,3732,120.0,0.286,159.7
43.0,76,152,3732,97.1,0.169,128.49
43.0,150,200,2390,62.2,0.057,61.5
78.5,194,200,2663,31.2,1.2,148.2
102.2,150,457,2060,120.0,0.7,109.9
36.6,150,315,2060,120.0,0.095,47.37
110.1,70,315,2707,99.0,0.507,47.77
74.1,194,762,2707,125.7,2.56,116.3
102.0,152,305,2323,116.0,0.191,111.43
104.5,105,210,2060,118.0,0.143,80.7
36.6,100,305,2663,115.2,0.6,244.6
85.9,152,300,2663,118.0,0.191,59.3
82.4,70,200,3732,118.0,0.143,151.6
85.9,105,762,2707,118.0,2.56,78.26
51.1,150,450,3732,87.3,3.8,69.2
114.7,150,750,2663,62.2,0.072,123.3
110.2,70,305,2900,115.0,0.286,80.7
44.7,105,200,2900,115.2,2.8,126.6
82.4,152,152,2900,116.0,1.27,154.5
23.1,150,200,2663,120.0,0.29,86.07
79.5,105,762,2667,31.2,0.29,232.4
51.1,152,305,2707,120.0,0.095,47.3
49.6,100,200,2589,120.0,1.4,87.6
102.0,100,200,2900,128.5,0.15,172.2
50.64,194,457,2323,87.3,0.191,123.5
102.2,70,750,2323,120.0,1.27,70.44
35.5,76,582,2930,13.6,0.286,109.9
23.1,76,305,1150,31.2,3.8,195.3
18.9,70,152,2707,99.0,0.169,55.8
84.9,150,210,2390,13.6,0.072,88.65
82.4,100,457,230,115.2,0.572,154.1
77.0,76,210,2060,115.0,0.8,60.61
35.5,70,305,2930,13.6,3.86,195.3
49.6,100,152,2663,62.2,1.27,93.4
83.0,105,762,2589,115.2,0.2,45.2
106.0,150,450,2663,87.3,0.4,50.3
44.0,200,457,1150,128.5,1.4,50.28
37.2,76,457,2707,115.0,0.143,107.7
78.0,70,305,602,87.3,0.29,177.8
80.5,105,210,2930,128.5,0.7,52.5
43.0,194,457,2663,118.0,0.143,69.2
79.6,70,200,602,99.0,0.8,74.8
101.18,194,300,230,125.7,5.21,61.56
104.5,100,152,2390,99.0,0.143,103.45
23.1,194,457,2059,13.6,1.2,177.8
114.7,70,457,230,115.2,0.072,176.2
79.5,100,200,2667,115.0,0.057,89.1
83.0,100,200,2390,116.0,0.6,170.7
104.5,100,762,3732,31.2,3.8,121.3
104.5,70,210,2707,120.0,0.2,83.81
55.2,194,762,2667,116.0,0.8,50.28
100.0,105,200,2390,128.5,3.86,232.4
39.2,76,200,230,120.0,0.572,79.5
54.0,70,750,2667,99.0,0.072,84.24
47.3,200,315,2663,128.5,0.169,232.4
85.5,200,305,2930,115.0,0.44,158.5
119.3,200,457,602,31.2,0.44,154.3
47.3,105,315,2059,120.0,0.286,130.9
77.9,194,305,1150,99.0,0.9,87.42
79.6,100,200,2589,128.5,1.27,111.25
85.9,152,152,2390,120.0,0.338,187.4
46.43,152,750,2390,125.7,0.507,166.1
28.79,150,762,2930,62.2,0.858,243.86
35.4,152,457,230,125.7,0.4,192.21
51.1,152,750,230,125.7,1.27,105.3
44.7,100,200,3732,31.2,0.572,47.37
79.6,200,762,2663,97.1,3.8,74.8
84.9,200,300,230,97.1,0.143,79.1
119.3,105,200,230,99.0,0.507,192.21
44.7,152,305,3732,99.0,0.9,47.37
37.2,105,762,2663,62.2,0.169,103.45
43.0,152,750,2667,62.2,0.7,118.7
50.64,100,152,230,120.0,2.1,130.3
49.4,105,750,2900,99.0,0.572,101.2
110.1,70,750,602,13.6,0.507,69.2
35.6,100,210,3732,115.2,3.86,75.3
35.5,194,305,3732,125.7,0.2,53.3
85.9,150,300,602,99.0,0.169,154.8
98.0,100,300,2390,87.3,0.3,120.1
70.0,70,762,1150,118.0,1.2,154.3
37.0,152,750,2663,125.7,0.169,45.2
23.1,152,750,2390,87.3,0.29,154.7
30.2,150,457,2707,116.0,0.8,107.7
44.7,194,762,2900,62.2,0.6,204.51
44.0,200,457,2667,125.7,0.072,162.1
49.6,70,210,2323,99.0,0.858,106.3
36.2,152,200,2390,115.2,0.071,46.32
102.2,150,200,2323,99.0,0.4,201.4
28.79,100,200,2390,128.5,0.858,92.1
78.5,150,210,2930,115.0,0.057,70.5
43.0,150,457,2390,116.0,0.072,46.32
110.1,152,210,2323,116.0,0.507,166.1
102.2,100,305,2663,13.6,0.095,176.6
39.0,105,305,3732,62.2,0.286,82.4
54.0,150,305,2900,128.5,0.8,151.2
35.5,200,210,2900,115.0,0.071,123.5
110.1,105,305,2667,13.6,0.15,74.5
37.0,70,300,3732,116.0,0.15,80.67
30.2,200,200,2663,128.5,0.143,150.8
46.43,150,305,3732,115.0,0.057,62.7
85.9,105,300,2059,87.3,2.8,233.7
37.2,70,582,2900,87.3,0.507,45.2
29.6,100,210,2059,99.0,5.21,50.7
102.2,200,305,2323,118.0,4.3,123.27
84.9,105,450,2059,13.6,0.572,80.7
18.9,76,750,2390,115.2,0.169,118.0
83.0,200,305,602,31.2,0.191,176.2
46.43,200,152,2059,115.0,0.2,78.59
18.9,152,305,3732,115.0,3.8,96.02
46.43,152,305,2900,13.6,0.6,47.77
39.2,200,200,2059,120.0,0.44,224.1
35.6,76,200,2390,115.0,0.2,70.5
29.6,76,762,602,116.0,0.29,156.6
107.3,150,300,2390,120.0,2.1,112.4
54.0,100,305,1150,125.7,5.21,154.9
33.3,194,582,2667,97.1,0.507,92.1
30.2,150,300,2589,116.0,5.21,167.05
36.2,100,305,2667,120.0,2.1,89.1
47.3,194,762,1150,118.0,0.286,130.9
109.8,105,762,2323,118.0,0.8,69.2
114.7,200,750,3732,120.0,0.15,176.2
54.0,194,315,230,31.2,0.072,151.6
49.4,152,762,2667,62.2,1.27,52.23
36.2,76,750,3732,99.0,1.27,52.24
29.6,150,450,2663,99.0,1.2,50.3
35.6,100,152,2900,125.7,0.057,107.7
46.43,105,200,3732,13.6,2.56,88.65
100.0,105,315,2059,99.0,2.8,121.3
55.2,194,457,2930,120.0,2.56,111.25
36.2,194,750,2900,115.0,0.072,167.05
78.0,152,305,602,115.2,0.29,79.81
39.0,200,300,2707,97.1,0.4,74.5
110.1,150,200,2059,62.2,0.286,74.53
107.3,100,762,2060,120.0,0.507,74.53
78.0,105,762,2589,97.1,0.057,70.5
84.9,194,305,602,120.0,1.4,78.59
78.5,100,582,602,115.0,3.8,79.5
74.1,76,762,1150,115.2,0.169,84.24
85.9,152,210,2059,125.7,0.7,90.1
78.0,76,152,2663,118.0,0.9,110.5
109.8,76,582,2663,31.2,1.27,50.28
83.0,152,315,1150,120.0,3.86,224.1
79.6,200,457,2930,115.2,4.3,62.7
37.0,100,305,230,87.3,0.8,118.33
78.0,105,210,2060,118.0,0.9,177.8
39.0,70,300,2707,87.3,0.15,45.2
106.0,152,762,2667,116.0,0.8,101.61
110.2,100,200,2060,120.0,0.071,80.9
50.64,150,762,2663,128.5,0.286,107.9
51.1,200,200,2663,97.1,3.8,148.0
85.9,70,750,2060,125.7,0.572,79.5
83.0,200,210,2707,118.0,0.572,52.24
109.8,100,200,2930,87.3,0.191,84.3
28.79,100,305,2900,99.0,0.8,50.5
54.0,100,300,602,120.0,0.286,169.7
35.6,150,762,2707,116.0,0.6,88.3
78.0,150,457,2323,99.0,0.7,82.4
46.4,150,305,2663,62.2,0.143,83.1
82.4,194,200,2323,128.5,3.8,80.9
79.5,152,200,2323,31.2,1.27,121.3
36.2,100,450,2663,118.0,0.44,156.6
44.7,150,210,2390,62.2,0.071,112.3
114.7,150,200,3732,31.2,2.1,70.44
74.0,200,450,3732,87.3,0.15,61.56
74.1,150,305,2663,13.6,1.27,91.9
50.64,152,457,2663,116.0,0.44,86.7
49.6,70,210,2059,31.2,0.7,50.28
79.6,194,200,2667,115.2,1.2,224.1
70.0,152,300,2059,115.2,2.1,103.9
79.5,194,210,2059,118.0,0.507,83.3
85.9,200,210,230,120.0,1.2,62.32
78.5,105,315,2060,31.2,0.15,74.4
80.5,152,582,2667,99.0,0.8,126.4
35.5,152,762,2390,13.6,1.2,169.2
84.9,200,582,2059,87.3,4.3,167.05
57.5,70,300,2060,115.0,2.56,123.3
85.9,152,315,2707,128.5,1.2,154.7
84.9,100,210,3732,99.0,2.1,69.2
39.0,100,200,2390,120.0,1.2,53.7
110.2,70,305,2707,62.2,0.6,154.9
46.43,200,750,230,99.0,0.286,128.49
18.9,100,750,230,118.0,0.7,110.7
36.6,152,305,1150,13.6,0.8,132.8
47.3,152,152,2663,118.0,1.4,110.7
78.5,100,315,602,87.3,5.21,111.6
43.0,70,750,2060,120.0,0.143,83.81
54.0,100,200,602,120.0,0.169,154.7
110.1,194,315,2667,115.0,0.072,154.8
57.5,105,210,2589,31.2,0.338,84.0
36.6,70,457,2667,118.0,5.21,70.5
29.6,152,200,1150,97.1,0.8,91.9
28.79,100,305,2390,116.0,0.4,243.86
114.7,152,305,2060,31.2,0.8,232.4
104.5,194,315,2663,115.2,0.072,244.6
30.2,70,750,2390,120.0,0.44,176.6
83.0,70,582,1150,99.0,0.2,96.3
54.0,152,300,2059,62.2,2.56,35.16
74.1,200,200,2390,87.3,0.15,107.3
70.0,70,210,2323,118.0,0.44,158.5
78.0,194,305,230,97.1,0.071,68.5
39.0,200,152,2390,99.0,5.21,53.7
74.1,76,457,2059,118.0,0.3,70.5
84.9,70,210,1150,115.0,0.4,80.67
109.8,150,762,2060,13.6,0.286,125.8
80.5,100,450,2900,31.2,0.169,116.3
34.0,150,305,2667,118.0,0.4,201.4
43.0,70,152,3732,115.0,0.507,62.8
23.1,150,305,1150,115.0,0.15,61.4
78.5,70,582,2930,118.0,2.8,80.67
43.0,152,210,2667,116.0,0.2,158.6
39.2,76,210,3732,116.0,1.2,118.33
54.0,152,210,2663,99.0,0.3,45.2
57.5,150,152,2390,116.0,0.286,91.9
33.3,70,210,3732,99.0,4.3,172.2
34.0,100,582,3732,62.2,0.095,185.78
82.4,150,300,2930,115.0,0.169,121.3
102.0,70,300,1150,116.0,0.572,104.6
37.0,194,305,2707,125.7,1.27,132.8
102.2,100,750,602,120.0,2.1,62.7
49.4,152,300,2059,128.5,0.286,177.8
49.6,150,210,2323,99.0,0.286,176.2
74.0,100,300,2390,118.0,0.071,159.7
107.3,70,300,2663,120.0,0.143,87.7
46.4,150,457,602,118.0,0.572,170.7
98.0,70,210,2900,120.0,0.858,74.53
114.7,150,762,2059,115.0,2.1,187.4
49.6,100,152,2663,125.7,0.858,185.78
85.5,200,315,2663,13.6,0.7,78.59
102.0,152,300,2059,31.2,0.169,136.89
50.64,76,762,3732,128.5,0.071,50.5
74.1,70,300,2930,13.6,0.072,56.99
30.2,150,750,2707,31.2,1.2,84.0
55.2,70,305,2663,118.0,0.072,154.1
39.0,100,200,2060,125.7,0.143,195.3
37.2,100,315,2060,97.1,0.071,176.2
74.1,105,305,2900,13.6,0.071,70.44
109.8,152,750,2930,31.2,0.191,192.21
79.5,150,762,602,115.0,0.572,84.0
79.5,100,762,2059,116.0,0.072,113.6
119.3,100,457,2667,116.0,0.095,48.15
114.7,194,300,230,31.2,0.507,123.27
102.2,150,582,2663,120.0,3.8,167.05
98.0,70,300,2930,31.2,0.286,83.1
34.0,150,305,602,97.1,4.3,79.5
77.2,70,210,2323,118.0,0.572,71.0
84.9,152,200,2323,97.1,0.169,50.28
33.3,70,152,2059,31.2,2.56,86.7
70.0,150,200,2060,128.5,5.21,132.8
35.6,150,750,2930,97.1,0.143,87.42
114.7,152,762,2707,116.0,0.2,53.3
35.5,152,300,2060,97.1,0.8,150.5
105.0,70,300,1150,97.1,0.143,87.7
104.5,152,762,2667,13.6,0.44,74.53
102.2,194,210,2900,31.2,0.858,83.1
77.2,152,300,2900,125.7,0.3,88.3
49.4,200,457,2667,125.7,0.3,61.5
44.0,100,300,2059,128.5,0.572,56.99
105.0,150,457,2930,87.3,0.6,84.0
18.9,100,315,2900,118.0,0.2,87.2
47.3,105,582,2059,118.0,0.7,125.8
77.0,76,305,2930,118.0,2.56,39.0
83.6,194,457,1150,116.0,0.858,111.25
36.6,150,750,3732,31.2,0.15,79.81
44.7,194,450,2930,97.1,0.44,154.1
83.0,76,762,2390,62.2,0.057,52.5
54.0,152,315,1150,62.2,1.4,62.7
100.0,70,210,2060,120.0,1.2,170.7
35.4,152,305,230,115.2,0.507,233.7
37.2,200,582,3732,62.2,0.6,100.0
43.0,100,762,2707,97.1,0.15,123.27
43.0,70,762,602,125.7,0.169,148.2
47.3,100,305,2059,31.2,2.8,130.9
82.4,100,315,2059,120.0,3.8,66.3
35.5,100,200,2930,128.5,4.3,243.92
77.0,100,450,3732,99.0,1.4,59.3
47.3,105,750,2707,87.3,0.143,172.2
46.43,200,750,2390,120.0,0.2,83.81
98.0,194,305,602,120.0,0.7,162.1
28.79,200,300,2667,99.0,0.8,61.56
119.3,100,762,602,99.0,0.3,154.7
43.0,70,315,602,116.0,0.858,122.3
36.6,200,315,3732,128.5,5.21,104.0
44.0,200,457,2323,118.0,0.071,82.4
70.0,150,300,2059,97.1,0.4,107.3
39.0,152,762,2060,128.5,0.6,102.0
104.5,105,582,2663,115.2,2.1,90.1
74.0,105,762,2060,62.2,2.1,110.1
78.0,152,200,2323,125.7,5.21,105.3
79.5,150,300,2663,87.3,0.286,110.7
37.2,194,315,2900,99.0,1.27,83.3
54.0,70,305,2390,116.0,0.15,169.7
43.0,100,210,230,115.2,0.507,93.4
82.4,100,457,2059,97.1,0.6,85.0
84.9,70,305,602,118.0,0.057,183.8
74.1,152,200,2667,115.2,2.56,154.3
39.0,70,750,1150,115.0,0.572,233.7
102.2,194,200,2663,31.2,2.1,111.24
37.0,194,582,2323,125.7,1.27,91.9
29.6,152,750,2060,128.5,1.27,70.6
100.0,100,200,2059,120.0,2.1,177.8
101.18,152,305,2390,115.0,0.572,83.3
114.7,150,762,602,128.5,0.44,61.4
49.6,152,200,2707,115.2,0.2,91.9
74.1,100,582,3732,115.2,0.15,151.6
35.5,100,300,3732,115.0,1.2,116.3
85.9,105,582,602,128.5,0.2,66.3
