fco,epsco,D,L,ff,Ef,tf,epscu
82.4,0.34,152,210,230,120.0,0.191,2.2
36.6,0.24,152,200,2930,128.5,2.56,0.54
77.0,0.28,152,300,3732,13.6,0.9,1.9
83.6,0.46,194,305,230,128.5,0.572,1.3
37.2,0.26,70,315,2060,116.0,0.191,0.4
55.2,0.31,100,305,2900,99.0,0.191,1.96
83.0,0.2,105,450,2390,99.0,0.169,2.34
55.2,0.27,100,200,2663,118.0,0.143,2.2
77.0,0.34,100,762,2900,118.0,2.56,0.63
50.64,0.19,152,300,230,128.5,3.86,0.38
46.43,0.21,70,582,2390,125.7,0.072,3.01
36.6,0.33,100,315,2663,120.0,0.9,0.63
43.0,0.26,150,582,2663,118.0,0.143,0.46
82.4,0.27,150,457,2060,115.2,0.6,2.32
28.79,0.25,70,582,2060,125.7,0.6,2.53
100.0,0.25,70,762,230,13.6,1.27,0.42
114.7,0.46,152,305,2390,125.7,0.9,0.71
80.5,0.28,70,582,2900,120.0,0.858,4.39
83.0,0.29,152,450,230,120.0,0.072,1.61
57.5,0.46,105,457,3732,118.0,0.6,0.89
82.4,0.29,100,152,230,115.2,0.143,1.95
50.64,0.25,100,582,2663,128.5,0.9,1.97
74.0,0.25,70,450,2390,99.0,0.2,1.75
78.0,0.27,105,315,3732,120.0,3.86,2.6
114.7,0.35,105,200,2930,99.0,0.3,2.23
57.5,0.23,70,210,2663,118.0,0.4,2.12
104.5,0.27,152,305,2930,115.2,0.507,1.3
77.2,0.29,100,450,2900,99.0,0.057,2.95
85.9,0.34,105,210,2390,116.0,2.56,1.97
78.5,0.33,100,582,2930,118.0,0.507,1.62
114.7,0.45,150,200,2663,115.2,0.286,1.96
119.3,0.35,100,315,2900,125.7,0.858,2.89
29.6,0.25,105,300,2900,116.0,0.6,1.65
77.0,0.31,100,457,2390,128.5,0.057,2.31
35.4,0.2,194,200,2930,13.6,0.8,1.44
49.4,0.27,150,582,2930,13.6,0.858,1.02
110.2,0.26,150,210,2900,120.0,0.507,2.31
77.0,0.31,150,200,2930,125.7,0.8,1.96
49.4,0.3,105,200,2060,115.2,0.169,1.9
36.6,0.34,100,152,3732,115.2,0.3,1.06
119.3,0.34,70,200,230,13.6,0.6,1.62
39.2,0.35,100,762,2900,115.2,1.2,3.01
82.4,0.35,100,200,2900,118.0,1.27,0.82
36.6,0.24,100,450,3732,118.0,0.6,0.89
80.5,0.35,152,300,3732,116.0,0.8,0.46
35.5,0.26,105,762,2060,128.5,0.095,1.88
119.3,0.35,105,300,2900,128.5,0.6,0.46
77.0,0.2,100,315,2663,115.2,0.191,3.45
85.9,0.27,100,152,2900,116.0,0.858,2.06
28.79,0.31,150,210,2663,125.7,0.6,0.54
39.2,0.2,194,582,3732,118.0,0.338,3.31
37.2,0.25,194,152,2390,99.0,0.191,0.53
77.0,0.29,100,152,2390,125.7,0.9,1.48
29.6,0.25,152,450,2930,116.0,1.2,0.54
79.6,0.23,70,762,3732,118.0,0.507,3.39
110.2,0.35,105,210,2390,125.7,0.2,1.3
46.43,0.27,100,200,3732,13.6,0.143,1.85
114.7,0.24,150,300,2390,120.0,3.86,3.01
37.2,0.46,152,210,3732,120.0,0.338,0.95
107.3,0.27,100,305,3732,99.0,3.86,2.89
